"","Site.Name","month","year","mean_ozone","mean_PM2.5"
"1","Bryson City",3,2018,41.5806451612903,34.741935483871
"2","Bryson City",3,2019,42.5161290322581,NA
"3","Bryson City",4,2018,44.5333333333333,28.1666666666667
"4","Bryson City",4,2019,45.4,26.7333333333333
"5","Bryson City",5,2019,39.6,NA
"6","Bryson City",6,2018,37.8,NA
"7","Bryson City",6,2019,33.9666666666667,NA
"8","Bryson City",7,2018,34.6129032258064,NA
"9","Bryson City",7,2019,30.4193548387097,33.6451612903226
"10","Bryson City",8,2018,30.8064516129032,NA
"11","Bryson City",8,2019,32.5806451612903,NA
"12","Bryson City",9,2018,25.4,25.0666666666667
"13","Bryson City",9,2019,35.4333333333333,NA
"14","Bryson City",10,2018,31,31.3225806451613
"15","Castle Hayne",3,2019,43.3225806451613,NA
"16","Castle Hayne",4,2018,48.7241379310345,14.8965517241379
"17","Castle Hayne",4,2019,45.1333333333333,14.3333333333333
"18","Castle Hayne",5,2018,37.3793103448276,NA
"19","Castle Hayne",5,2019,42.8064516129032,16.4838709677419
"20","Castle Hayne",6,2018,40.8666666666667,NA
"21","Castle Hayne",6,2019,44.7,NA
"22","Castle Hayne",7,2018,36.4838709677419,15.5161290322581
"23","Castle Hayne",7,2019,37.8064516129032,NA
"24","Castle Hayne",8,2018,31.5483870967742,15.741935483871
"25","Castle Hayne",8,2019,35.2592592592593,NA
"26","Castle Hayne",9,2018,24,NA
"27","Castle Hayne",9,2019,36.2608695652174,NA
"28","Castle Hayne",10,2019,35.2258064516129,11.8387096774194
"29","Clemmons Middle",3,2018,43.0322580645161,33.1935483870968
"30","Clemmons Middle",4,2018,51.7666666666667,31.6666666666667
"31","Clemmons Middle",4,2019,44.6666666666667,39.2166666666667
"32","Clemmons Middle",5,2018,47.8387096774194,NA
"33","Clemmons Middle",5,2019,41.9677419354839,40.1451612903226
"34","Clemmons Middle",6,2018,53.5,42.7333333333333
"35","Clemmons Middle",6,2019,41.6666666666667,35.8166666666667
"36","Clemmons Middle",7,2018,50.741935483871,NA
"37","Clemmons Middle",7,2019,43.1290322580645,40.2741935483871
"38","Clemmons Middle",8,2018,40.4516129032258,39.6451612903226
"39","Clemmons Middle",8,2019,42.6774193548387,37.6290322580645
"40","Clemmons Middle",9,2018,33.2666666666667,32.9666666666667
"41","Clemmons Middle",9,2019,48.6333333333333,44.6
"42","Clemmons Middle",10,2019,33.0967741935484,30.0645161290323
"43","Durham Armory",3,2018,39.9032258064516,NA
"44","Durham Armory",3,2019,42.258064516129,NA
"45","Durham Armory",4,2018,47.7333333333333,NA
"46","Durham Armory",4,2019,43,27.5833333333333
"47","Durham Armory",5,2019,44.2903225806452,31.3548387096774
"48","Durham Armory",6,2019,43.5333333333333,32.3
"49","Durham Armory",7,2018,43.0645161290323,39.9193548387097
"50","Durham Armory",7,2019,43.7741935483871,NA
"51","Durham Armory",8,2018,40.1612903225806,NA
"52","Durham Armory",8,2019,41.741935483871,25.2096774193548
"53","Durham Armory",9,2018,31.8260869565217,NA
"54","Durham Armory",9,2019,43.448275862069,NA
"55","Durham Armory",10,2018,30.0645161290323,NA
"56","Durham Armory",10,2019,34.5483870967742,NA
"57","Frying Pan Mountain",1,2019,40.2,NA
"58","Frying Pan Mountain",3,2018,46,NA
"59","Frying Pan Mountain",3,2019,50.2258064516129,NA
"60","Frying Pan Mountain",4,2019,53,NA
"61","Frying Pan Mountain",5,2019,45.5161290322581,NA
"62","Frying Pan Mountain",6,2019,44.9,NA
"63","Frying Pan Mountain",7,2018,43.8709677419355,NA
"64","Frying Pan Mountain",7,2019,40.6129032258064,NA
"65","Frying Pan Mountain",8,2018,38.9677419354839,NA
"66","Frying Pan Mountain",8,2019,43.1612903225806,NA
"67","Frying Pan Mountain",9,2019,47.7931034482759,NA
"68","Frying Pan Mountain",10,2018,38.9,NA
"69","Frying Pan Mountain",10,2019,41.9677419354839,NA
"70","Garinger High School",2,2019,31.6428571428571,29.5238095238095
"71","Garinger High School",3,2018,40.5161290322581,31.6129032258065
"72","Garinger High School",3,2019,41.2258064516129,30.9354838709677
"73","Garinger High School",4,2019,44.5,30.8055555555556
"74","Garinger High School",5,2018,49.1290322580645,32.5322580645161
"75","Garinger High School",5,2019,44.8333333333333,NA
"76","Garinger High School",6,2018,58,NA
"77","Garinger High School",6,2019,48.1333333333333,NA
"78","Garinger High School",7,2018,49.9032258064516,35.5161290322581
"79","Garinger High School",7,2019,54.258064516129,40.7956989247312
"80","Garinger High School",8,2018,46.4838709677419,33.741935483871
"81","Garinger High School",8,2019,52.6451612903226,36.1612903225806
"82","Garinger High School",9,2018,35.7083333333333,NA
"83","Garinger High School",9,2019,59.2333333333333,42.7333333333333
"84","Garinger High School",10,2018,33,29.0322580645161
"85","Garinger High School",10,2019,39.8064516129032,29.3548387096774
"86","Garinger High School",11,2018,25.4666666666667,30.3333333333333
"87","Garinger High School",11,2019,28,40.1
"88","Garinger High School",12,2019,27.1935483870968,NA
"89","Hattie Avenue",3,2018,42.6774193548387,30.3655913978495
"90","Hattie Avenue",3,2019,43.2903225806452,29.3225806451613
"91","Hattie Avenue",4,2018,51.4,NA
"92","Hattie Avenue",4,2019,46.6333333333333,29.1
"93","Hattie Avenue",6,2018,54.6,36.4444444444444
"94","Hattie Avenue",6,2019,44.0666666666667,NA
"95","Hattie Avenue",7,2018,51.8064516129032,34.7741935483871
"96","Hattie Avenue",8,2018,41.9354838709677,35.4623655913978
"97","Hattie Avenue",8,2019,47.1935483870968,33.9516129032258
